parameter,prior_mean,prior_sd,prior_q025,prior_q50,prior_q975,lower,upper,posterior_mean,posterior_sd,posterior_q025,posterior_q50,posterior_q975,sd_ratio_posterior_over_prior,interval_ratio_posterior_over_prior
deltaG1_0,-0.25544204955095384,0.1002629099117318,-0.3940176679802982,-0.27217761782574545,-0.036790071351169185,-0.4,0.0,-0.12308130786135271,0.0010577700315741192,-0.12514356064178442,-0.12307265508751225,-0.12104208157984804,0.01054996341623583,0.011481417171122147
deltaG4_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,0.10928229279041646,0.0041523360988975355,0.10189402621318769,0.1090836709144836,0.11818366990861348,0.020761680494487678,0.02077798855478522
deltaG5_0,0.0,0.2,-0.3919927969080109,0.0,0.3919927969080108,,,-8.143788615249481e-05,0.014828777830074457,-0.030196623915585905,0.00022591836630101694,0.02935353629555069,0.07414388915037227,0.07595823275435246
beta_2_BF,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.06036249521600912,0.04773696279001914,0.0020023158917623495,0.05071181744420476,0.17057839479946732,0.16536568990267617,0.17744850411337365
beta_2_ER,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.36214158273533226,0.05189874350951947,0.31936078207284596,0.349669442731363,0.4949227853721688,0.17978252121494645,0.18480210873612934
q,0.5,0.2886751345948129,0.025,0.5,0.975,0.0,1.0,0.4073518075152005,0.057285762682510274,0.3157003730143885,0.3979849645918838,0.5416877506048446,0.19844370303288192,0.23788145009521697
Gact1_0,0.6724222068303695,0.17543958829484219,0.3029438897691983,0.6832928186785808,0.9679895017160765,0.0,1.0,0.4016945028160046,0.09373143622770785,0.16945531344796982,0.42055957630203794,0.5262632279537256,0.5342661661413822,0.536516455557422
Gact2_BF_0,0.7290374894305053,0.12894727700225228,0.5154115821656639,0.7230739771256242,0.9729438672906496,0.5,1.0,0.7047613240469983,0.015942035453259916,0.6695900718261353,0.7055006901781902,0.7332703563837748,0.12363219932888898,0.13918205693450408
Gact2_ER_0,0.7290374894305053,0.12894727700225228,0.5154115821656639,0.7230739771256242,0.9729438672906496,0.5,1.0,0.7844157493174496,0.02127266831719213,0.7696664480783412,0.7790951398317615,0.8390233530232297,0.164971830439045,0.1515890948022216
Gact2_LH_0,0.7290374894305053,0.12894727700225228,0.5154115821656639,0.7230739771256242,0.9729438672906496,0.5,1.0,0.7200162888815729,0.0034478842832265273,0.7140094389912246,0.7197337598162012,0.7275330197461898,0.026738713398083654,0.0295576535135021
